year,eq_primary,latitude,longitude
-2150,7.3,31.1,35.5
-2000,,35.683,35.8
-2000,7.1,38.0,58.2
-1610,,36.4,25.4
-1566,,31.5,35.3
-1450,,35.5,25.5
-1365,,35.683,35.8
-1250,6.5,32.0,35.5
-1050,6.2,29.6,35.0
-759,,33.0,35.5
-590,,33.27,35.22
-550,,37.0,22.5
-525,,33.56,35.37
-480,,37.9,23.5
-479,7.0,39.7,23.3
-432,,37.0,22.5
-426,7.1,38.9,22.7
-400,7.6,35.5,51.8
-373,7.3,38.25,22.25
-364,,35.0,25.0
-330,7.0,40.0,25.0
-326,,23.0,71.0
-282,,41.0,27.0
-282,,38.5,22.5
-250,6.7,42.7,77.5
-227,7.2,36.3,28.3
-223,,,
-221,,29.2,25.5
-218,,36.2,-7.17
-217,,44.3,8.5
-210,,36.0,-10.5
-198,,36.404,25.396
-193,6.5,35.4,103.9
-186,7.0,33.8,105.6
-177,,,
-70,7.0,36.3,119.0
-63,6.4,45.2,36.6
-60,6.7,36.0,-10.0
-58,6.6,41.3,19.5
-50,5.5,43.0,41.0
-50,,43.5,28.5
-47,,34.9,104.7
-33,,31.2,34.2
-31,7.0,32.0,35.5
-27,,25.7,32.7
-26,,35.0,33.0
-26,5.5,28.8,104.6
-15,,35.2,34.0
10,7.1,38.0,58.3
11,,37.8,27.4
17,,37.85,27.3
23,,38.2,22.2
25,,33.0,72.0
27,6.3,35.9,126.5
29,,40.5,28.9
33,,31.8,35.2
37,,36.1,36.1
46,6.5,33.0,112.5
50,,37.0,68.5
52,,41.0,24.3
52,,36.1,36.1
55,,35.0,25.0
57,,41.2,19.3
60,,37.9,29.2
62,6.9,35.2,25.1
63,,40.7,14.5
76,,34.8,32.0
79,,40.821,14.426
89,6.3,35.9,126.5
93,,40.6,26.7
100,6.3,35.8,129.2
105,,39.5,27.0
109,,40.0,34.0
115,7.5,36.1,36.1
120,7.2,40.77,29.92
123,6.3,35.8,129.2
128,6.5,34.7,105.4
138,6.8,35.8,103.5
142,7.0,36.7,28.0
143,7.0,34.7,105.3
155,,36.5,28.5
170,,39.0,24.5
173,,37.5,120.0
177,,38.6,26.65
177,,38.0,15.0
180,7.5,39.4,99.5
243,5.3,45.3,11.0
251,,35.5,25.5
253,,39.1,27.2
258,,41.9,12.45
262,,36.6,30.0
294,5.5,32.6,116.8
294,5.5,40.3,116.0
304,6.3,35.5,129.1
306,,33.2,35.1
315,,31.7,35.5
319,4.5,34.1,105.3
324,,40.5,14.5
334,,41.2,19.3
340,,36.1,36.1
341,,36.2,36.1
342,,41.3,19.5
342,,36.2,36.1
344,,35.4,114.3
344,,40.5,14.5
344,,40.3,26.5
346,6.8,41.4,19.4
348,,33.9,35.5
350,,41.0,30.0
355,,40.7,29.7
358,,40.77,29.9
361,,41.6,21.5
362,,41.0,29.5
362,6.4,31.3,35.6
365,8.0,35.0,23.0
367,,40.7,29.7
368,6.4,40.5,29.6
368,,40.0,29.0
369,,41.1,14.8
382,,36.0,-10.83
394,,36.1,36.1
396,,36.1,36.1
407,6.6,41.0,29.0
412,,37.067,10.067
419,,31.2,34.2
425,,31.9,34.9
427,6.7,40.5,46.5
438,,35.5,25.5
440,,41.0,29.0
447,7.3,40.9,28.5
448,,35.0,25.0
450,,40.4,28.4
457,,36.2,36.1
458,,36.2,36.1
460,,20.3,100.0
470,,44.4,4.3
477,,41.0,29.0
478,7.2,40.8,29.2
494,,34.3,35.5
499,,32.1,118.8
500,6.7,42.7,76.5
501,6.3,39.0,125.3
510,6.3,35.5,129.1
512,7.5,39.4,113.3
518,,42.0,21.4
521,,39.6,21.2
522,,36.2,36.1
522,,41.2,19.3
525,7.0,36.25,36.1
527,,40.1,20.8
528,7.1,36.25,36.1
533,,36.2,37.2
543,6.8,40.3,27.8
551,,,
551,7.1,38.4,22.3
551,7.3,33.9,35.5
552,,36.1,37.1
553,,33.9,35.5
554,7.0,36.8,27.3
555,,41.04,28.98
557,,40.9,27.6
557,7.0,40.9,27.6
557,,36.1,36.1
558,7.0,40.9,28.8
558,,43.6,13.5
565,,36.2,36.1
567,,45.6,15.3
579,,36.0,36.0
581,,36.1,36.1
587,,36.25,36.1
600,,34.3,108.9
614,,41.0,15.0
634,,38.0,46.2
649,5.5,36.1,111.5
662,,35.3,54.0
664,6.3,35.5,129.1
678,,35.0,43.5
684,8.4,32.5,134.0
688,,38.4,27.2
701,7.0,35.7,135.4
704,7.0,33.8,136.7
713,,36.0,36.0
715,,40.4,28.9
716,,36.0,36.0
734,7.0,34.6,105.6
735,5.8,39.7,45.5
740,7.3,40.7,29.3
742,,35.0,38.0
743,5.5,42.1,48.2
743,7.2,35.3,52.2
744,6.4,32.4,130.5
745,6.5,34.6,135.3
745,7.9,35.5,136.9
746,7.0,32.0,35.5
748,,33.5,36.3
749,,35.0,43.5
758,,31.2,34.2
763,7.6,33.3,59.3
766,6.5,31.6,130.7
777,,37.8,115.2
778,,28.1,111.4
778,5.6,45.4,12.2
780,6.3,35.5,129.1
788,6.5,32.5,109.4
793,,45.5,11.0
796,,35.0,25.0
801,,41.9,12.6
802,,45.4,11.9
803,,36.95,35.6
811,,56.3,-2.8
814,7.0,27.9,102.2
818,7.9,35.2,139.3
818,7.5,36.8,66.2
820,,37.4,112.6
835,,36.0,36.0
838,,40.4,71.3
842,,49.5,-2.5
844,,33.5,36.3
845,,36.2,43.1
846,,36.1,36.1
847,,33.5,36.3
847,,36.21,42.08
847,,41.6,14.2
850,,35.3,51.2
850,7.0,39.0,139.9
851,5.2,40.0,44.6
853,,41.5,14.5
854,,50.1,3.1
854,,40.0,45.0
854,,35.7,10.1
855,,35.3,51.2
856,,37.9,22.9
856,4.5,40.0,44.6
856,7.9,36.2,54.3
856,,36.8,10.2
857,,,
858,,38.0,46.2
858,5.2,40.0,44.6
859,,36.0,36.0
860,,33.0,44.5
863,,35.3,51.2
863,,38.0,46.2
863,4.9,40.0,44.6
863,7.0,37.1,138.0
864,,35.3,51.2
867,,41.0,29.0
869,8.6,38.5,143.8
871,6.8,33.2,47.2
876,6.5,37.8,105.9
881,,30.0,-6.0
885,,30.0,31.1
887,6.5,37.5,138.1
887,8.6,33.0,135.3
891,6.3,38.3,48.3
893,,40.0,44.6
894,5.3,45.3,11.0
896,,41.9,12.6
896,,41.7,22.9
898,,35.3,51.2
910,,33.2,44.2
912,,34.6,47.8
922,7.0,33.8,136.7
942,,36.0,51.7
942,6.7,39.7,64.5
943,,38.0,58.3
951,,36.1,37.1
953,7.1,38.0,58.3
956,,34.9,48.4
957,,35.7,51.4
957,,34.8,44.8
958,,35.3,51.2
958,,33.2,44.2
